home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round,result
Fluminense-RJ,RJ,Atletico-PR,PR,2,1,2013,1,1
Cruzeiro-MG,MG,Goias-GO,GO,5,0,2013,1,1
Coritiba-PR,PR,Atletico-MG,MG,2,1,2013,1,1
Atletico-PR,PR,Cruzeiro-MG,MG,2,2,2013,2,0
Botafogo-RJ,RJ,Santos-SP,SP,2,1,2013,2,1
Sao Paulo-SP,SP,Vasco da Gama-RJ,RJ,5,1,2013,2,1
Flamengo-RJ,RJ,Ponte Preta-SP,SP,0,2,2013,2,0
Bahia-BA,BA,Coritiba-PR,PR,0,0,2013,2,0
Nautico-PE,PE,Vitoria-BA,BA,0,3,2013,2,0
Goias-GO,GO,Corinthians-SP,SP,1,1,2013,2,0
Internacional-RS,RS,Criciuma-SC,SC,2,0,2013,2,1
Atletico-MG,MG,Gremio-RS,RS,2,0,2013,2,1
Portuguesa-SP,SP,Fluminense-RJ,RJ,2,1,2013,2,1
Atletico-PR,PR,Flamengo-RJ,RJ,2,2,2013,3,0
Santos-SP,SP,Gremio-RS,RS,1,1,2013,3,0
Botafogo-RJ,RJ,Cruzeiro-MG,MG,2,1,2013,3,1
Goias-GO,GO,Coritiba-PR,PR,1,1,2013,3,0
Vitoria-BA,BA,Vasco da Gama-RJ,RJ,2,0,2013,3,1
Corinthians-SP,SP,Ponte Preta-SP,SP,1,0,2013,3,1
Fluminense-RJ,RJ,Criciuma-SC,SC,3,0,2013,3,1
Internacional-RS,RS,Bahia-BA,BA,1,2,2013,3,0
Nautico-PE,PE,Portuguesa-SP,SP,2,2,2013,3,0
Atletico-MG,MG,Sao Paulo-SP,SP,0,0,2013,3,0
Portuguesa-SP,SP,Internacional-RS,RS,1,1,2013,4,0
Sao Paulo-SP,SP,Goias-GO,GO,0,1,2013,4,0
Criciuma-SC,SC,Santos-SP,SP,3,1,2013,4,1
Ponte Preta-SP,SP,Atletico-PR,PR,3,4,2013,4,0
Gremio-RS,RS,Vitoria-BA,BA,1,0,2013,4,1
Vasco da Gama-RJ,RJ,Atletico-MG,MG,2,0,2013,4,1
Flamengo-RJ,RJ,Nautico-PE,PE,0,1,2013,4,0
Bahia-BA,BA,Botafogo-RJ,RJ,2,1,2013,4,1
Cruzeiro-MG,MG,Corinthians-SP,SP,1,0,2013,4,1
Coritiba-PR,PR,Fluminense-RJ,RJ,2,1,2013,4,1
Cruzeiro-MG,MG,Internacional-RS,RS,2,2,2013,5,0
Criciuma-SC,SC,Flamengo-RJ,RJ,0,3,2013,5,0
Vasco da Gama-RJ,RJ,Bahia-BA,BA,1,1,2013,5,0
Corinthians-SP,SP,Portuguesa-SP,SP,0,0,2013,5,0
Ponte Preta-SP,SP,Botafogo-RJ,RJ,0,2,2013,5,0
Vitoria-BA,BA,Atletico-PR,PR,3,2,2013,5,1
Coritiba-PR,PR,Nautico-PE,PE,1,0,2013,5,1
Fluminense-RJ,RJ,Goias-GO,GO,2,1,2013,5,1
Santos-SP,SP,Atletico-MG,MG,1,0,2013,5,1
Gremio-RS,RS,Sao Paulo-SP,SP,1,1,2013,5,0
Flamengo-RJ,RJ,Coritiba-PR,PR,2,2,2013,6,0
Nautico-PE,PE,Ponte Preta-SP,SP,1,3,2013,6,0
Atletico-PR,PR,Gremio-RS,RS,1,1,2013,6,0
Portuguesa-SP,SP,Cruzeiro-MG,MG,1,1,2013,6,0
Goias-GO,GO,Vitoria-BA,BA,1,0,2013,6,1
Internacional-RS,RS,Vasco da Gama-RJ,RJ,5,3,2013,6,1
Sao Paulo-SP,SP,Santos-SP,SP,0,2,2013,6,0
Bahia-BA,BA,Corinthians-SP,SP,0,2,2013,6,0
Botafogo-RJ,RJ,Fluminense-RJ,RJ,1,0,2013,6,1
Atletico-MG,MG,Criciuma-SC,SC,3,2,2013,6,1
Fluminense-RJ,RJ,Internacional-RS,RS,2,3,2013,7,0
Santos-SP,SP,Portuguesa-SP,SP,4,1,2013,7,1
Ponte Preta-SP,SP,Bahia-BA,BA,0,0,2013,7,0
Vitoria-BA,BA,Sao Paulo-SP,SP,3,2,2013,7,1
Gremio-RS,RS,Botafogo-RJ,RJ,2,1,2013,7,1
Corinthians-SP,SP,Atletico-MG,MG,0,1,2013,7,0
Coritiba-PR,PR,Atletico-PR,PR,1,0,2013,7,1
Criciuma-SC,SC,Goias-GO,GO,0,0,2013,7,0
Cruzeiro-MG,MG,Nautico-PE,PE,3,0,2013,7,1
Vasco da Gama-RJ,RJ,Flamengo-RJ,RJ,0,1,2013,7,0
Botafogo-RJ,RJ,Nautico-PE,PE,2,0,2013,8,1
Sao Paulo-SP,SP,Cruzeiro-MG,MG,0,3,2013,8,0
Criciuma-SC,SC,Gremio-RS,RS,2,1,2013,8,1
Vitoria-BA,BA,Bahia-BA,BA,0,0,2013,8,0
Internacional-RS,RS,Flamengo-RJ,RJ,1,0,2013,8,1
Atletico-PR,PR,Corinthians-SP,SP,1,1,2013,8,0
Santos-SP,SP,Coritiba-PR,PR,2,2,2013,8,0
Fluminense-RJ,RJ,Vasco da Gama-RJ,RJ,1,3,2013,8,0
Goias-GO,GO,Portuguesa-SP,SP,2,1,2013,8,1
Atletico-MG,MG,Ponte Preta-SP,SP,4,0,2013,8,1
Vasco da Gama-RJ,RJ,Criciuma-SC,SC,3,2,2013,9,1
Portuguesa-SP,SP,Atletico-PR,PR,2,3,2013,9,0
Ponte Preta-SP,SP,Santos-SP,SP,1,0,2013,9,1
Gremio-RS,RS,Fluminense-RJ,RJ,2,0,2013,9,1
Nautico-PE,PE,Internacional-RS,RS,3,0,2013,9,1
Corinthians-SP,SP,Sao Paulo-SP,SP,0,0,2013,9,0
Cruzeiro-MG,MG,Atletico-MG,MG,4,1,2013,9,1
Flamengo-RJ,RJ,Botafogo-RJ,RJ,1,1,2013,9,0
Coritiba-PR,PR,Vitoria-BA,BA,1,1,2013,9,0
Bahia-BA,BA,Goias-GO,GO,2,1,2013,9,1
Fluminense-RJ,RJ,Cruzeiro-MG,MG,1,0,2013,10,1
Atletico-MG,MG,Atletico-PR,PR,1,2,2013,10,0
Portuguesa-SP,SP,Criciuma-SC,SC,1,1,2013,10,0
Coritiba-PR,PR,Ponte Preta-SP,SP,5,3,2013,10,1
Corinthians-SP,SP,Gremio-RS,RS,2,0,2013,10,1
Bahia-BA,BA,Flamengo-RJ,RJ,3,0,2013,10,1
Botafogo-RJ,RJ,Vitoria-BA,BA,2,0,2013,10,1
Goias-GO,GO,Vasco da Gama-RJ,RJ,1,1,2013,10,0
Nautico-PE,PE,Sao Paulo-SP,SP,0,1,2013,10,0
Internacional-RS,RS,Santos-SP,SP,1,2,2013,10,0
Sao Paulo-SP,SP,Bahia-BA,BA,1,2,2013,11,0
Cruzeiro-MG,MG,Coritiba-PR,PR,1,0,2013,11,1
Atletico-PR,PR,Goias-GO,GO,2,0,2013,11,1
Ponte Preta-SP,SP,Fluminense-RJ,RJ,1,1,2013,11,0
Criciuma-SC,SC,Corinthians-SP,SP,0,2,2013,11,0
Gremio-RS,RS,Internacional-RS,RS,1,1,2013,11,0
Flamengo-RJ,RJ,Atletico-MG,MG,3,0,2013,11,1
Vasco da Gama-RJ,RJ,Botafogo-RJ,RJ,2,3,2013,11,0
Vitoria-BA,BA,Portuguesa-SP,SP,2,1,2013,11,1
Santos-SP,SP,Nautico-PE,PE,1,1,2013,11,0
Sao Paulo-SP,SP,Internacional-RS,RS,0,1,2013,12,0
Vitoria-BA,BA,Fluminense-RJ,RJ,1,1,2013,12,0
Criciuma-SC,SC,Cruzeiro-MG,MG,1,2,2013,12,0
Flamengo-RJ,RJ,Portuguesa-SP,SP,1,1,2013,12,0
Atletico-PR,PR,Bahia-BA,BA,1,0,2013,12,1
Atletico-MG,MG,Botafogo-RJ,RJ,2,2,2013,12,0
Santos-SP,SP,Corinthians-SP,SP,1,1,2013,12,0
Goias-GO,GO,Nautico-PE,PE,2,1,2013,12,1
Gremio-RS,RS,Coritiba-PR,PR,0,1,2013,12,0
Vasco da Gama-RJ,RJ,Ponte Preta-SP,SP,1,1,2013,12,0
Nautico-PE,PE,Atletico-MG,MG,0,0,2013,13,0
Botafogo-RJ,RJ,Goias-GO,GO,1,1,2013,13,0
Fluminense-RJ,RJ,Flamengo-RJ,RJ,2,3,2013,13,0
Corinthians-SP,SP,Vitoria-BA,BA,2,0,2013,13,1
Cruzeiro-MG,MG,Santos-SP,SP,0,0,2013,13,0
Coritiba-PR,PR,Vasco da Gama-RJ,RJ,0,1,2013,13,0
Ponte Preta-SP,SP,Criciuma-SC,SC,3,1,2013,13,1
Bahia-BA,BA,Gremio-RS,RS,0,3,2013,13,0
Internacional-RS,RS,Atletico-PR,PR,2,2,2013,13,0
Portuguesa-SP,SP,Sao Paulo-SP,SP,2,1,2013,13,1
Atletico-MG,MG,Bahia-BA,BA,2,0,2013,14,1
Santos-SP,SP,Vasco da Gama-RJ,RJ,1,1,2013,14,0
Criciuma-SC,SC,Nautico-PE,PE,3,0,2013,14,1
Vitoria-BA,BA,Ponte Preta-SP,SP,3,1,2013,14,1
Coritiba-PR,PR,Portuguesa-SP,SP,1,1,2013,14,0
Goias-GO,GO,Flamengo-RJ,RJ,1,1,2013,14,0
Fluminense-RJ,RJ,Corinthians-SP,SP,0,0,2013,14,0
Gremio-RS,RS,Cruzeiro-MG,MG,3,1,2013,14,1
Sao Paulo-SP,SP,Atletico-PR,PR,1,1,2013,14,0
Botafogo-RJ,RJ,Internacional-RS,RS,3,3,2013,14,0
Nautico-PE,PE,Fluminense-RJ,RJ,0,1,2013,15,0
Cruzeiro-MG,MG,Vitoria-BA,BA,5,1,2013,15,1
Vasco da Gama-RJ,RJ,Gremio-RS,RS,2,3,2013,15,0
Ponte Preta-SP,SP,Goias-GO,GO,0,1,2013,15,0
Portuguesa-SP,SP,Botafogo-RJ,RJ,1,3,2013,15,0
Corinthians-SP,SP,Coritiba-PR,PR,1,0,2013,15,1
Flamengo-RJ,RJ,Sao Paulo-SP,SP,0,0,2013,15,0
Bahia-BA,BA,Santos-SP,SP,0,0,2013,15,0
Internacional-RS,RS,Atletico-MG,MG,0,0,2013,15,0
Atletico-PR,PR,Criciuma-SC,SC,2,1,2013,15,1
Flamengo-RJ,RJ,Gremio-RS,RS,0,1,2013,16,0
Ponte Preta-SP,SP,Cruzeiro-MG,MG,0,2,2013,16,0
Santos-SP,SP,Vitoria-BA,BA,2,0,2013,16,1
Criciuma-SC,SC,Coritiba-PR,PR,2,1,2013,16,1
Atletico-MG,MG,Portuguesa-SP,SP,2,1,2013,16,1
Bahia-BA,BA,Nautico-PE,PE,2,0,2013,16,1
Vasco da Gama-RJ,RJ,Corinthians-SP,SP,1,1,2013,16,0
Sao Paulo-SP,SP,Fluminense-RJ,RJ,2,1,2013,16,1
Internacional-RS,RS,Goias-GO,GO,3,3,2013,16,0
Atletico-PR,PR,Botafogo-RJ,RJ,2,0,2013,16,1
Nautico-PE,PE,Atletico-PR,PR,1,4,2013,17,0
Portuguesa-SP,SP,Bahia-BA,BA,4,2,2013,17,1
Gremio-RS,RS,Ponte Preta-SP,SP,1,0,2013,17,1
Goias-GO,GO,Atletico-MG,MG,0,0,2013,17,0
Fluminense-RJ,RJ,Santos-SP,SP,0,2,2013,17,0
Coritiba-PR,PR,Internacional-RS,RS,0,0,2013,17,0
Vitoria-BA,BA,Criciuma-SC,SC,0,1,2013,17,0
Botafogo-RJ,RJ,Sao Paulo-SP,SP,0,0,2013,17,0
Corinthians-SP,SP,Flamengo-RJ,RJ,4,0,2013,17,1
Cruzeiro-MG,MG,Vasco da Gama-RJ,RJ,5,3,2013,17,1
Goias-GO,GO,Gremio-RS,RS,2,0,2013,18,1
Flamengo-RJ,RJ,Vitoria-BA,BA,2,1,2013,18,1
Atletico-PR,PR,Santos-SP,SP,2,1,2013,18,1
Portuguesa-SP,SP,Ponte Preta-SP,SP,2,1,2013,18,1
Internacional-RS,RS,Corinthians-SP,SP,1,0,2013,18,1
Atletico-MG,MG,Fluminense-RJ,RJ,2,2,2013,18,0
Bahia-BA,BA,Cruzeiro-MG,MG,1,3,2013,18,0
Botafogo-RJ,RJ,Coritiba-PR,PR,3,1,2013,18,1
Sao Paulo-SP,SP,Criciuma-SC,SC,1,2,2013,18,0
Nautico-PE,PE,Vasco da Gama-RJ,RJ,0,3,2013,18,0
Santos-SP,SP,Goias-GO,GO,1,0,2013,19,1
Fluminense-RJ,RJ,Bahia-BA,BA,1,0,2013,19,1
Vitoria-BA,BA,Atletico-MG,MG,1,1,2013,19,0
Ponte Preta-SP,SP,Internacional-RS,RS,1,3,2013,19,0
Gremio-RS,RS,Portuguesa-SP,SP,3,2,2013,19,1
Coritiba-PR,PR,Sao Paulo-SP,SP,2,0,2013,19,1
Cruzeiro-MG,MG,Flamengo-RJ,RJ,1,0,2013,19,1
Corinthians-SP,SP,Nautico-PE,PE,0,0,2013,19,0
Vasco da Gama-RJ,RJ,Atletico-PR,PR,0,0,2013,19,0
Criciuma-SC,SC,Botafogo-RJ,RJ,1,2,2013,19,0
Atletico-PR,PR,Fluminense-RJ,RJ,1,1,2013,20,0
Bahia-BA,BA,Criciuma-SC,SC,2,2,2013,20,0
Goias-GO,GO,Cruzeiro-MG,MG,1,2,2013,20,0
Botafogo-RJ,RJ,Corinthians-SP,SP,1,0,2013,20,1
Nautico-PE,PE,Gremio-RS,RS,0,2,2013,20,0
Portuguesa-SP,SP,Vasco da Gama-RJ,RJ,2,0,2013,20,1
Internacional-RS,RS,Vitoria-BA,BA,2,2,2013,20,0
Sao Paulo-SP,SP,Ponte Preta-SP,SP,1,0,2013,20,1
Atletico-MG,MG,Coritiba-PR,PR,3,0,2013,20,1
Flamengo-RJ,RJ,Santos-SP,SP,2,1,2013,20,1
Cruzeiro-MG,MG,Atletico-PR,PR,1,0,2013,21,1
Fluminense-RJ,RJ,Portuguesa-SP,SP,2,1,2013,21,1
Vasco da Gama-RJ,RJ,Sao Paulo-SP,SP,0,2,2013,21,0
Corinthians-SP,SP,Goias-GO,GO,1,2,2013,21,0
Ponte Preta-SP,SP,Flamengo-RJ,RJ,1,1,2013,21,0
Criciuma-SC,SC,Internacional-RS,RS,0,1,2013,21,0
Coritiba-PR,PR,Bahia-BA,BA,2,2,2013,21,0
Santos-SP,SP,Botafogo-RJ,RJ,1,2,2013,21,0
Vitoria-BA,BA,Nautico-PE,PE,2,1,2013,21,1
Gremio-RS,RS,Atletico-MG,MG,0,1,2013,21,0
Vasco da Gama-RJ,RJ,Vitoria-BA,BA,1,2,2013,22,0
Gremio-RS,RS,Santos-SP,SP,1,1,2013,22,0
Criciuma-SC,SC,Fluminense-RJ,RJ,1,2,2013,22,0
Coritiba-PR,PR,Goias-GO,GO,2,2,2013,22,0
Sao Paulo-SP,SP,Atletico-MG,MG,1,0,2013,22,1
Ponte Preta-SP,SP,Corinthians-SP,SP,2,0,2013,22,1
Cruzeiro-MG,MG,Botafogo-RJ,RJ,3,0,2013,22,1
Flamengo-RJ,RJ,Atletico-PR,PR,2,4,2013,22,0
Portuguesa-SP,SP,Nautico-PE,PE,3,0,2013,22,1
Bahia-BA,BA,Internacional-RS,RS,2,0,2013,22,1
Fluminense-RJ,RJ,Coritiba-PR,PR,1,1,2013,23,0
Vitoria-BA,BA,Gremio-RS,RS,0,0,2013,23,0
Internacional-RS,RS,Portuguesa-SP,SP,0,1,2013,23,0
Nautico-PE,PE,Flamengo-RJ,RJ,0,0,2013,23,0
Goias-GO,GO,Sao Paulo-SP,SP,1,0,2013,23,1
Botafogo-RJ,RJ,Bahia-BA,BA,1,2,2013,23,0
Corinthians-SP,SP,Cruzeiro-MG,MG,0,0,2013,23,0
Santos-SP,SP,Criciuma-SC,SC,2,1,2013,23,1
Atletico-MG,MG,Vasco da Gama-RJ,RJ,2,1,2013,23,1
Atletico-PR,PR,Ponte Preta-SP,SP,1,0,2013,23,1
Nautico-PE,PE,Coritiba-PR,PR,3,0,2013,24,1
Goias-GO,GO,Fluminense-RJ,RJ,1,2,2013,24,0
Botafogo-RJ,RJ,Ponte Preta-SP,SP,0,1,2013,24,0
Bahia-BA,BA,Vasco da Gama-RJ,RJ,0,0,2013,24,0
Portuguesa-SP,SP,Corinthians-SP,SP,4,0,2013,24,1
Sao Paulo-SP,SP,Gremio-RS,RS,0,1,2013,24,0
Flamengo-RJ,RJ,Criciuma-SC,SC,4,1,2013,24,1
Internacional-RS,RS,Cruzeiro-MG,MG,1,2,2013,24,0
Atletico-MG,MG,Santos-SP,SP,3,1,2013,24,1
Atletico-PR,PR,Vitoria-BA,BA,3,5,2013,24,0
Criciuma-SC,SC,Atletico-MG,MG,1,1,2013,25,0
Ponte Preta-SP,SP,Nautico-PE,PE,1,2,2013,25,0
Gremio-RS,RS,Atletico-PR,PR,1,0,2013,25,1
Cruzeiro-MG,MG,Portuguesa-SP,SP,4,0,2013,25,1
Fluminense-RJ,RJ,Botafogo-RJ,RJ,1,1,2013,25,0
Vitoria-BA,BA,Goias-GO,GO,2,1,2013,25,1
Santos-SP,SP,Sao Paulo-SP,SP,3,0,2013,25,1
Corinthians-SP,SP,Bahia-BA,BA,2,0,2013,25,1
Coritiba-PR,PR,Flamengo-RJ,RJ,0,2,2013,25,0
Vasco da Gama-RJ,RJ,Internacional-RS,RS,3,1,2013,25,1
Botafogo-RJ,RJ,Gremio-RS,RS,0,1,2013,26,0
Sao Paulo-SP,SP,Vitoria-BA,BA,3,2,2013,26,1
Flamengo-RJ,RJ,Vasco da Gama-RJ,RJ,1,1,2013,26,0
Internacional-RS,RS,Fluminense-RJ,RJ,1,0,2013,26,1
Nautico-PE,PE,Cruzeiro-MG,MG,1,4,2013,26,0
Atletico-MG,MG,Corinthians-SP,SP,0,0,2013,26,0
Atletico-PR,PR,Coritiba-PR,PR,2,1,2013,26,1
Bahia-BA,BA,Ponte Preta-SP,SP,1,1,2013,26,0
Goias-GO,GO,Criciuma-SC,SC,1,1,2013,26,0
Portuguesa-SP,SP,Santos-SP,SP,3,0,2013,26,1
Gremio-RS,RS,Criciuma-SC,SC,1,2,2013,27,0
Coritiba-PR,PR,Santos-SP,SP,1,0,2013,27,1
Ponte Preta-SP,SP,Atletico-MG,MG,2,0,2013,27,1
Bahia-BA,BA,Vitoria-BA,BA,2,0,2013,27,1
Nautico-PE,PE,Botafogo-RJ,RJ,1,3,2013,27,0
Cruzeiro-MG,MG,Sao Paulo-SP,SP,0,2,2013,27,0
Corinthians-SP,SP,Atletico-PR,PR,0,0,2013,27,0
Vasco da Gama-RJ,RJ,Fluminense-RJ,RJ,1,0,2013,27,1
Portuguesa-SP,SP,Goias-GO,GO,1,2,2013,27,0
Flamengo-RJ,RJ,Internacional-RS,RS,2,1,2013,27,1
Fluminense-RJ,RJ,Gremio-RS,RS,1,1,2013,28,0
Vitoria-BA,BA,Coritiba-PR,PR,2,1,2013,28,1
Santos-SP,SP,Ponte Preta-SP,SP,2,1,2013,28,1
Atletico-MG,MG,Cruzeiro-MG,MG,1,0,2013,28,1
Criciuma-SC,SC,Vasco da Gama-RJ,RJ,3,2,2013,28,1
Internacional-RS,RS,Nautico-PE,PE,4,1,2013,28,1
Sao Paulo-SP,SP,Corinthians-SP,SP,0,0,2013,28,0
Botafogo-RJ,RJ,Flamengo-RJ,RJ,2,1,2013,28,1
Goias-GO,GO,Bahia-BA,BA,3,1,2013,28,1
Atletico-PR,PR,Portuguesa-SP,SP,1,0,2013,28,1
Cruzeiro-MG,MG,Fluminense-RJ,RJ,1,0,2013,29,1
Santos-SP,SP,Internacional-RS,RS,0,0,2013,29,0
Criciuma-SC,SC,Portuguesa-SP,SP,1,3,2013,29,0
Sao Paulo-SP,SP,Nautico-PE,PE,3,0,2013,29,1
Ponte Preta-SP,SP,Coritiba-PR,PR,1,0,2013,29,1
Flamengo-RJ,RJ,Bahia-BA,BA,2,1,2013,29,1
Gremio-RS,RS,Corinthians-SP,SP,1,0,2013,29,1
Atletico-PR,PR,Atletico-MG,MG,1,0,2013,29,1
Vasco da Gama-RJ,RJ,Goias-GO,GO,0,2,2013,29,0
Vitoria-BA,BA,Botafogo-RJ,RJ,1,0,2013,29,1
Fluminense-RJ,RJ,Ponte Preta-SP,SP,1,1,2013,30,0
Nautico-PE,PE,Santos-SP,SP,1,5,2013,30,0
Corinthians-SP,SP,Criciuma-SC,SC,1,0,2013,30,1
Goias-GO,GO,Atletico-PR,PR,3,0,2013,30,1
Atletico-MG,MG,Flamengo-RJ,RJ,1,0,2013,30,1
Internacional-RS,RS,Gremio-RS,RS,2,2,2013,30,0
Bahia-BA,BA,Sao Paulo-SP,SP,0,1,2013,30,0
Botafogo-RJ,RJ,Vasco da Gama-RJ,RJ,2,2,2013,30,0
Coritiba-PR,PR,Cruzeiro-MG,MG,2,1,2013,30,1
Portuguesa-SP,SP,Vitoria-BA,BA,1,1,2013,30,0
Botafogo-RJ,RJ,Atletico-MG,MG,1,0,2013,31,1
Cruzeiro-MG,MG,Criciuma-SC,SC,5,3,2013,31,1
Corinthians-SP,SP,Santos-SP,SP,1,1,2013,31,0
Bahia-BA,BA,Atletico-PR,PR,1,1,2013,31,0
Internacional-RS,RS,Sao Paulo-SP,SP,2,3,2013,31,0
Ponte Preta-SP,SP,Vasco da Gama-RJ,RJ,2,1,2013,31,1
Portuguesa-SP,SP,Flamengo-RJ,RJ,0,0,2013,31,0
Coritiba-PR,PR,Gremio-RS,RS,4,0,2013,31,1
Nautico-PE,PE,Goias-GO,GO,0,2,2013,31,0
Fluminense-RJ,RJ,Vitoria-BA,BA,2,3,2013,31,0
Vasco da Gama-RJ,RJ,Coritiba-PR,PR,2,1,2013,32,1
Sao Paulo-SP,SP,Portuguesa-SP,SP,2,1,2013,32,1
Atletico-MG,MG,Nautico-PE,PE,5,0,2013,32,1
Vitoria-BA,BA,Corinthians-SP,SP,1,1,2013,32,0
Gremio-RS,RS,Bahia-BA,BA,0,0,2013,32,0
Goias-GO,GO,Botafogo-RJ,RJ,1,0,2013,32,1
Santos-SP,SP,Cruzeiro-MG,MG,0,1,2013,32,0
Flamengo-RJ,RJ,Fluminense-RJ,RJ,1,0,2013,32,1
Criciuma-SC,SC,Ponte Preta-SP,SP,1,1,2013,32,0
Atletico-PR,PR,Internacional-RS,RS,1,0,2013,32,1
Bahia-BA,BA,Atletico-MG,MG,0,0,2013,33,0
Portuguesa-SP,SP,Coritiba-PR,PR,0,0,2013,33,0
Flamengo-RJ,RJ,Goias-GO,GO,1,1,2013,33,0
Internacional-RS,RS,Botafogo-RJ,RJ,2,1,2013,33,1
Ponte Preta-SP,SP,Vitoria-BA,BA,0,3,2013,33,0
Cruzeiro-MG,MG,Gremio-RS,RS,3,0,2013,33,1
Atletico-PR,PR,Sao Paulo-SP,SP,3,0,2013,33,1
Vasco da Gama-RJ,RJ,Santos-SP,SP,2,2,2013,33,0
Corinthians-SP,SP,Fluminense-RJ,RJ,1,0,2013,33,1
Nautico-PE,PE,Criciuma-SC,SC,0,1,2013,33,0
Gremio-RS,RS,Vasco da Gama-RJ,RJ,1,0,2013,34,1
Goias-GO,GO,Ponte Preta-SP,SP,2,0,2013,34,1
Criciuma-SC,SC,Atletico-PR,PR,2,1,2013,34,1
Botafogo-RJ,RJ,Portuguesa-SP,SP,0,0,2013,34,0
Coritiba-PR,PR,Corinthians-SP,SP,0,1,2013,34,0
Sao Paulo-SP,SP,Flamengo-RJ,RJ,2,0,2013,34,1
Vitoria-BA,BA,Cruzeiro-MG,MG,1,3,2013,34,0
Santos-SP,SP,Bahia-BA,BA,3,0,2013,34,1
Fluminense-RJ,RJ,Nautico-PE,PE,2,0,2013,34,1
Atletico-MG,MG,Internacional-RS,RS,2,1,2013,34,1
Botafogo-RJ,RJ,Atletico-PR,PR,4,0,2013,35,1
Coritiba-PR,PR,Criciuma-SC,SC,1,2,2013,35,0
Vitoria-BA,BA,Santos-SP,SP,2,0,2013,35,1
Cruzeiro-MG,MG,Ponte Preta-SP,SP,2,2,2013,35,0
Fluminense-RJ,RJ,Sao Paulo-SP,SP,2,1,2013,35,1
Corinthians-SP,SP,Vasco da Gama-RJ,RJ,0,0,2013,35,0
Gremio-RS,RS,Flamengo-RJ,RJ,2,1,2013,35,1
Goias-GO,GO,Internacional-RS,RS,3,1,2013,35,1
Nautico-PE,PE,Bahia-BA,BA,0,1,2013,35,0
Portuguesa-SP,SP,Atletico-MG,MG,2,0,2013,35,1
Vasco da Gama-RJ,RJ,Cruzeiro-MG,MG,2,1,2013,36,1
Criciuma-SC,SC,Vitoria-BA,BA,1,1,2013,36,0
Atletico-MG,MG,Goias-GO,GO,4,1,2013,36,1
Atletico-PR,PR,Nautico-PE,PE,6,1,2013,36,1
Santos-SP,SP,Fluminense-RJ,RJ,1,0,2013,36,1
Ponte Preta-SP,SP,Gremio-RS,RS,1,1,2013,36,0
Flamengo-RJ,RJ,Corinthians-SP,SP,1,0,2013,36,1
Sao Paulo-SP,SP,Botafogo-RJ,RJ,1,1,2013,36,0
Bahia-BA,BA,Portuguesa-SP,SP,1,0,2013,36,1
Internacional-RS,RS,Coritiba-PR,PR,0,0,2013,36,0
Fluminense-RJ,RJ,Atletico-MG,MG,2,2,2013,37,0
Corinthians-SP,SP,Internacional-RS,RS,0,0,2013,37,0
Criciuma-SC,SC,Sao Paulo-SP,SP,1,0,2013,37,1
Cruzeiro-MG,MG,Bahia-BA,BA,1,2,2013,37,0
Coritiba-PR,PR,Botafogo-RJ,RJ,2,1,2013,37,1
Ponte Preta-SP,SP,Portuguesa-SP,SP,0,2,2013,37,0
Vitoria-BA,BA,Flamengo-RJ,RJ,4,2,2013,37,1
Vasco da Gama-RJ,RJ,Nautico-PE,PE,2,0,2013,37,1
Gremio-RS,RS,Goias-GO,GO,1,0,2013,37,1
Santos-SP,SP,Atletico-PR,PR,2,1,2013,37,1
Flamengo-RJ,RJ,Cruzeiro-MG,MG,1,1,2013,38,0
Nautico-PE,PE,Corinthians-SP,SP,1,0,2013,38,1
Botafogo-RJ,RJ,Criciuma-SC,SC,3,0,2013,38,1
Sao Paulo-SP,SP,Coritiba-PR,PR,0,1,2013,38,0
Bahia-BA,BA,Fluminense-RJ,RJ,1,2,2013,38,0
Internacional-RS,RS,Ponte Preta-SP,SP,0,0,2013,38,0
Goias-GO,GO,Santos-SP,SP,0,3,2013,38,0
Atletico-MG,MG,Vitoria-BA,BA,2,2,2013,38,0
Atletico-PR,PR,Vasco da Gama-RJ,RJ,5,1,2013,38,1
Portuguesa-SP,SP,Gremio-RS,RS,0,0,2013,38,0
Fluminense-RJ,RJ,Figueirense-SC,SC,3,0,2014,1,1
Internacional-RS,RS,Vitoria-BA,BA,1,0,2014,1,1
Chapecoense-SC,SC,Coritiba-PR,PR,0,0,2014,1,0
Sao Paulo-SP,SP,Botafogo-RJ,RJ,3,0,2014,1,1
Atletico-PR,PR,Gremio-RS,RS,1,0,2014,1,1
Atletico-MG,MG,Corinthians-SP,SP,0,0,2014,1,0
Bahia-BA,BA,Cruzeiro-MG,MG,1,2,2014,1,0
Flamengo-RJ,RJ,Goias-GO,GO,0,0,2014,1,0
Criciuma-SC,SC,Palmeiras-SP,SP,1,2,2014,1,0
Santos-SP,SP,Sport-PE,PE,1,1,2014,1,0
Coritiba-PR,PR,Santos-SP,SP,0,0,2014,2,0
Palmeiras-SP,SP,Fluminense-RJ,RJ,0,1,2014,2,0
Botafogo-RJ,RJ,Internacional-RS,RS,2,2,2014,2,0
Corinthians-SP,SP,Flamengo-RJ,RJ,2,0,2014,2,1
Cruzeiro-MG,MG,Sao Paulo-SP,SP,1,1,2014,2,0
Vitoria-BA,BA,Atletico-PR,PR,2,2,2014,2,0
Goias-GO,GO,Criciuma-SC,SC,1,0,2014,2,1
